id,created_at,text,author_id,conversation_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,in_reply_to_user_id
1405597120044863488,2021-06-17T18:44:02.000Z,"Em mutirão da UFPR, 1,01% dos assintomáticos testa positivo para a Covid-19 https://t.co/rSGUqNnzNW",23978439,1405597120044863488,3,0,34,0,
1402396253980434434,2021-06-08T22:44:56.000Z,"UMA EXCELENTE NOTÍCIA!

Os trabalhadores da educação do Paraná que atuam no ensino superior começarão a ser vacinados contra a Covid-19. 

Confira no recado do reitor @ricardo_marcelo https://t.co/SfrPm8xxKE",23978439,1402396253980434434,27,3,354,17,
1399840878252994569,2021-06-01T21:30:47.000Z,"E ainda, a rede federal de hospitais universitários, formada por 50 hospitais vinculados a 35 universidades, disponibiliza, desde o início da pandemia, mais de dois mil leitos para pacientes com Covid-19, sendo cerca de 1.300 leitos de enfermaria e em torno de 700 leitos de UTI.",23978439,1399840874343931908,1,1,13,0,23978439
1399840876772442123,2021-06-01T21:30:47.000Z,"O levantamento indica também a realização de 73.825 projetos de pesquisa e 29.451 de extensão, produção de de 691 mil litros de álcool 70%, 515 mil Face Shields, 651 mil máscaras e a realização de mais de 670 mil testes de Covid-19 pelas universidades federais, somente em 2020.",23978439,1399840874343931908,0,1,7,0,23978439
1397319943021023235,2021-05-25T22:33:30.000Z,"UFPR realiza reunião com ministro da Ciência, Tecnologia e Inovação sobre a vacina contra Covid-19 https://t.co/mBrqbr12zE",23978439,1397319943021023235,1,0,16,1,
1396910658105524224,2021-05-24T19:27:08.000Z,https://t.co/fHGx8GDMux,23978439,1396910654955655170,1,1,23,0,23978439
1396910656629137408,2021-05-24T19:27:08.000Z,"Para homenageá-los, a UFPR criou o Memorial às vítimas do coronavírus.
A ação é uma forma de guardar a memória e valorizar todos que fazem parte da história da UFPR – professores, técnicos, alunos e colaboradores terceirizados.

https://t.co/sYriILOQbU 🖤",23978439,1396910654955655170,5,1,34,1,23978439
1396910654955655170,2021-05-24T19:27:08.000Z,"Eles passaram por salas de aulas, departamentos, laboratórios… Eram colegas, alunos, mestres, amigos… 

A pandemia da covid-19 tem tirado a vida de milhares de pessoas, muitos pertencentes à comunidade universitária. 
(+) https://t.co/spwU7SN3yB",23978439,1396910654955655170,20,2,174,1,
1394759150463299588,2021-05-18T20:57:49.000Z,"A prova deste ano, marcada para 18 de julho, será composta por 60 questões objetivas e por uma produção de texto. A mudança foi necessária para atender o cenário de restrições sanitárias causadas pela Covid-19.

A transmissão será pelo Youtube da UFPR TV https://t.co/y3RY1vv048",23978439,1394759148735246339,0,1,31,0,23978439
1394352208276230144,2021-05-17T18:00:46.000Z,"Variante do coronavírus tende a ser mais fatal entre jovens e adultos, sugere estudo https://t.co/Lu318XBi0D",23978439,1394352208276230144,0,0,15,0,
1394338792513880064,2021-05-17T17:07:28.000Z,@Lellexlutor Estamos ocupados fazendo vacina contra a Covid https://t.co/SbLlFJb5eR,23978439,1394306387304407040,0,1,13,0,935973753892360193
1390017677398265862,2021-05-05T18:56:54.000Z,UFPR testa gratuitamente pessoas da comunidade universitária com sintomas de Covid-19 no Centro Politécnico https://t.co/Z2OZsrjvW1,23978439,1390017677398265862,5,0,29,0,
1389368567968186369,2021-05-03T23:57:34.000Z,UFPR anuncia desenvolvimento de nova vacina contra Covid-19 | GloboNews Jornal GloboNews Edição das 18 | G1 https://t.co/ZVHohMF2Hq,23978439,1389368567968186369,42,1,278,6,
1386740347750043650,2021-04-26T17:53:57.000Z,"Acompanhe agora, ao vivo, coletiva de imprensa sobre a Vacina da UFPR contra a Covid-19 https://t.co/q4N23tnvED",23978439,1386740347750043650,7,0,35,3,
1383093415680823296,2021-04-16T16:22:21.000Z,UFPR disponibiliza mil testes de coronavírus para assintomáticos no próximo dia 20 de abril https://t.co/RvybqF0zGA,23978439,1383093415680823296,5,1,30,1,
1382765252786409479,2021-04-15T18:38:21.000Z,O reitor ressaltou que a realização da prova em 18 de julho está condicionada às condições epidemiológicas da Covid-19.,23978439,1382765249317715971,1,1,38,0,23978439
