id,text,author_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,in_reply_to_user_id
1211354611946311680,🤔 https://t.co/Gu4j4K4Oa4,23978439,2019-12-29T18:33:40.000Z,2,6,43,2,1211354611946311680,
1211034363665829889,RT @ju_sampaioo_: Não aguento mais esperar o resultado da @UFPR,23978439,2019-12-28T21:21:06.000Z,23,0,0,0,1211034363665829889,
1210682196564103174,@LwithP Vc tem um potencial incrível pra ser um grande RP! Sucesso! #ParaSempreUFPR,23978439,2019-12-27T22:01:43.000Z,0,1,2,1,1210604503512342530,2682908887
1210604913169973255,"@LwithP Bem-vindo ao clube, bb 😎",23978439,2019-12-27T16:54:37.000Z,1,1,67,0,1210604503512342530,2682908887
1210573976558350336,Grupo Carl Sagan é bicampeão da Olimpíada Brasileira de Astronomia e Astronáutica; foguete atingiu 308 metros https://t.co/7rvu2E2UZE,23978439,2019-12-27T14:51:42.000Z,2,0,9,1,1210573976558350336,
1210565330130669568,RT @BandNewsFMCtba: Três estudantes da UFPR conquistam medalhas na Olimpíada Brasileira de Matemática https://t.co/IsD5ox8iwf https://t.co/…,23978439,2019-12-27T14:17:20.000Z,3,0,0,0,1210565330130669568,
1210561998452342784,Hospital Veterinário de Curitiba terá atendimento restrito no recesso de fim de ano para manutenção de infraestrutura https://t.co/JK3rsNsJjQ,23978439,2019-12-27T14:04:06.000Z,2,0,11,0,1210561998452342784,
1210392470929989638,@robertao08 Pra garantir https://t.co/1ls9vW80EK,23978439,2019-12-27T02:50:27.000Z,6,1,45,1,1209940510972010497,2729097231
1209200251527204864,Politécnico recebe plantio de 200 árvores em área que sofria com águas da chuva https://t.co/Um2OnHpMQH,23978439,2019-12-23T19:53:00.000Z,2,2,20,1,1209200251527204864,
1209197192675766272,UFPR terá Doutorado em Botânica em 2020 https://t.co/7xm0eXaEo6,23978439,2019-12-23T19:40:51.000Z,2,2,28,0,1209197192675766272,
1208217370709372928,RT @_Kieutika_: Que cor eu uso na virada do ano pra passar na @UFPR ano que vem?,23978439,2019-12-21T02:47:23.000Z,85,0,0,0,1208217370709372928,
1208216578908729345,@_Kieutika_ https://t.co/nNvsZvTuYm,23978439,2019-12-21T02:44:14.000Z,1,2,41,3,1208090836350783488,3424731339
1208128018369196039,RT @ansiosaema: bem q de natal a UFPR podia me dar uma vaga ne,23978439,2019-12-20T20:52:20.000Z,38,0,0,0,1208128018369196039,
1208125707714469888,Estudantes da UFPR são medalhistas na Olimpíada Brasileira de Matemática https://t.co/GlsoEELLAG,23978439,2019-12-20T20:43:09.000Z,2,0,14,1,1208125707714469888,
1208084275138113538,Engenharia de Construção Civil e de Produção recebem prêmio internacional por trabalhos de pós-graduação https://t.co/SN33WUiJlW,23978439,2019-12-20T17:58:30.000Z,3,0,17,0,1208084275138113538,
1207780082745532416,Pesquisadoras da UFPR são premiadas em evento internacional de tecnologia assistiva https://t.co/J8f9eEGNs1,23978439,2019-12-19T21:49:45.000Z,3,1,24,0,1207780082745532416,
1207739475234893830,Pesquisas sobre manejo de plantas daninhas da UFPR são premiadas em competição nacional https://t.co/FWaQozr5Pt,23978439,2019-12-19T19:08:24.000Z,0,1,13,0,1207739475234893830,
1207661629711798272,RT @rosaedu_: 107 anos da maior e melhor universidade do Paraná! Não tenho palavras pra descrever o que essa instituição significa pra mim…,23978439,2019-12-19T13:59:04.000Z,1,0,0,0,1207661629711798272,
1207659165973467138,"RT @gabriel_fm1993: 107 anos da universidade mais antiga do país, a instituição que mudou minha vida e sou muito grato por tudo, a @UFPR. D…",23978439,2019-12-19T13:49:17.000Z,2,0,0,0,1207659165973467138,
1207644360151633920,"@tlbandeira_ Sagitarianas, amadah? Parabéns pra nós!! 😍",23978439,2019-12-19T12:50:27.000Z,1,0,1,0,1207643083241906176,529528233
1207632321685446657,"19 de dezembro de 1912.
Há exatos 107 anos era fundada a nossa amada Universidade Federal do Paraná ❤
VIVA A UFPR! 🎉🎉🎈🎂👏🎉🎈🎂 https://t.co/LJZaaXNWvn",23978439,2019-12-19T12:02:36.000Z,77,3,380,14,1207632321685446657,
1207416047680335872,UFPR aprova iniciativa para aprimorar o acolhimento e a adaptação de migrantes e refugiados https://t.co/iCXHI1YvDI,23978439,2019-12-18T21:43:13.000Z,3,0,14,0,1207416047680335872,
1207410857619185664,RT @hospitalidad3: Continuando o anúncio das boas noticias na @UFPR : hoje o primeiro mestrando sirio defendeu sua dissertação de mestrado…,23978439,2019-12-18T21:22:35.000Z,3,0,0,0,1207410857619185664,
1207408673422815232,Pesquisa da UFPR que edita genoma do protozoário da Doença de Chagas ganha prêmio em congresso internacional https://t.co/ZFHT2zExwO,23978439,2019-12-18T21:13:54.000Z,8,0,37,3,1207408673422815232,
1207143279424409600,RT @ebcnarede: Quais são as doenças mais transmitidas pelos pombos? Infectologista e professor da @UFPR fala sobre o assunto na @RadioNacio…,23978439,2019-12-18T03:39:20.000Z,4,0,0,0,1207143279424409600,
1207141850664067072,@thigr9 Eu sei. UFPR.,23978439,2019-12-18T03:33:39.000Z,0,1,10,1,1207123467738464257,1155132503830802433
1207112728265084929,RT @TatyanaFriedric: Orgulho de ser Ufpr!! Orgulho desses dois caras fenomenais!! Orgulho de ser coordenadora do curso de direito e entrega…,23978439,2019-12-18T01:37:56.000Z,52,0,0,0,1207112728265084929,
1207112512111558656,"RT @CienciaExplica: Responsável pelo Centro de Estudos do Mar/@UFPR que resgata cerca de 250 animais por ano no litoral paranaense, a biólo…",23978439,2019-12-18T01:37:04.000Z,4,0,0,0,1207112512111558656,
1207039640886272001,Dissertação premiada pelo Conselho Federal de Enfermagem propõe vídeos educativos para o pós-transplante de medula https://t.co/Mou1ZnSIeJ,23978439,2019-12-17T20:47:30.000Z,1,0,5,0,1207039640886272001,
1206691225572691968,Doutorando em Ciências Farmacêuticas é primeiro colocado em Prêmio da Embrapa https://t.co/GhAEt12hQq,23978439,2019-12-16T21:43:02.000Z,2,0,16,0,1206691225572691968,
1206678574880772096,UFPR promove concurso em 2020 para premiar TCCs dos Campi Avançados com potencial de impacto para sociedade https://t.co/bUg1ZzwAbo,23978439,2019-12-16T20:52:45.000Z,2,1,11,0,1206678574880772096,
1206675383552290821,Campi Cabral e Juvevê da UFPR são interligados por ciclovia https://t.co/I2DMxDC8rz,23978439,2019-12-16T20:40:05.000Z,2,0,11,0,1206675383552290821,
1206670890831925248,RT @eleonorabfruet: Parabéns à equipe da @UFPR envolvida no projeto! 🐧🐧🐧👏👏👏”Pinguins resgatados e tratados pelo Laboratório de Ecologia e C…,23978439,2019-12-16T20:22:13.000Z,43,0,0,0,1206670890831925248,
1205554862332809217,RT @CBNCuritiba: UFPR foi a única instituição de ensino superior a alcançar a nota máxima do MEC no Paraná https://t.co/ZsydVK7YA5 via @cbn…,23978439,2019-12-13T18:27:31.000Z,30,0,0,0,1205554862332809217,
1205551728894066688,Inovação e projeção internacional marcam trabalhos de pesquisas no serviço de transplante de medula do Complexo Hospital de Clínicas https://t.co/M37My7Vizo,23978439,2019-12-13T18:15:04.000Z,1,0,4,0,1205551728894066688,
1205187100896825344,UFPR celebra 107 anos com cerimônia que enaltece papel da instituição e resistência em 2019 https://t.co/IDuFxq9W5L,23978439,2019-12-12T18:06:10.000Z,2,0,22,1,1205187100896825344,
1204786962265247745,Tudo pelo paciente: serviço de transplante de medula óssea do HC/UFPR é esperança para doenças graves https://t.co/3nbFRsnCbq,23978439,2019-12-11T15:36:10.000Z,1,0,11,0,1204786962265247745,
1204220735289470976,🤔 https://t.co/4HEj27sjys,23978439,2019-12-10T02:06:11.000Z,8,6,103,1,1204220735289470976,
1204155599337988097,Comunidade universitária começará a usar o Office 365 a partir do dia 16 https://t.co/dqlksnGlfa,23978439,2019-12-09T21:47:21.000Z,2,0,20,1,1204155599337988097,
