public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,created_at,text,author_id,conversation_id,in_reply_to_user_id
16,1,129,2,1344412425479737344,2020-12-30T22:37:54.000Z,"""Que 2021 seja um ano em que todos tenhamos saúde, estejamos vacinados contra o vírus, mas também vacinados contra a ignorância, para a qual a universidade pública brasileira é o maior antídoto"". - Reitor @ricardo_marcelo https://t.co/WltwHvAzKh",23978439,1344412425479737344,
0,0,0,0,1344300291311751168,2020-12-30T15:12:19.000Z,@oshowdalilith Estou pedindo sim senhora https://t.co/ZYFmir2ZGq,23978439,1344294768805875712,963967363778580481
2,0,38,0,1343966211273601025,2020-12-29T17:04:49.000Z,"As pesquisas sobre eficiência energética que estão mudando o consumo de energia na UFPR
https://t.co/Mls2rPIx3c",23978439,1343966211273601025,
0,0,2,0,1343678140539932672,2020-12-28T22:00:07.000Z,@assiraln Orgulho ❤,23978439,1343675741427429376,101845942
5,0,201,3,1342646968045211649,2020-12-26T01:42:37.000Z,@heloisabbranco https://t.co/LtSj5FGLIV,23978439,1342635786299191297,1194592010709217280
1,0,19,0,1341532985275891715,2020-12-22T23:56:02.000Z,"🌊 Monitoramento das Praias 🐧
Caso encontre mamíferos, tartarugas e aves marinhas encalhadas nas praias, por favor, avise a equipe do projeto pelo telefone 0800-642-3341 ou (41) 99213-8746.",23978439,1341532976836972544,23978439
0,1,21,0,1341532983728156674,2020-12-22T23:56:02.000Z,"O trabalho faz parte parte do Laboratório de Ecologia e Conservação da UFPR, através do Projeto de Monitoramento de Praias da Bacia de Santos (PMP-BS).",23978439,1341532976836972544,23978439
0,1,14,0,1341532982226640896,2020-12-22T23:56:02.000Z,"Antes da soltura, a tartaruga também recebeu anilhas para identificação, que permitem que a
equipe de pesquisadores conheça seu tempo de vida após a marcação, locais que habita e suas rotas migratórias.",23978439,1341532976836972544,23978439
0,1,11,0,1341532980720918528,2020-12-22T23:56:01.000Z,"Após receber tratamento adequado o animal foi encaminhado para um tanque de água salgada com temperatura controlada onde
permaneceu em observação por 22 dias.",23978439,1341532976836972544,23978439
0,1,13,0,1341532979047391232,2020-12-22T23:56:01.000Z,"A tartaruga-verde juvenil foi encontrada encalhada no dia 30 de novembro na Praia de Pontal 2, com lesões decorrentes de um emalhe em rede de pesca.",23978439,1341532976836972544,23978439
32,3,339,8,1341532976836972544,2020-12-22T23:56:00.000Z,"ATENÇÃO:
Uma tartaruga-verde voltando para casa passando pelo seu feed 🐢🐢

A equipe do Centro de Reabilitação e  Despetrolização de Fauna Marinha realizou, nesta manhã, a soltura de uma tartaruga-verde (Chelonia Mydas), na Praia de Pontal do Sul, em Pontal do Paraná (PR). https://t.co/3t9Er3v0gd",23978439,1341532976836972544,
2,0,19,0,1341508909195022337,2020-12-22T22:20:22.000Z,Projeções matemáticas sobre covid-19 fazem Prefeitura de Teresina conceder medalha a professor da UFPR https://t.co/tcEAsbmAQD,23978439,1341508909195022337,
58,4,676,22,1340308226215211011,2020-12-19T14:49:17.000Z,"UFPR 108 anos: a Universidade mais antiga do Brasil 🏛

""Vovó das uni"", disseram 👵👵

Orgulho de ser ""Vovó das uni"". Orgulho de ser UFPR 🥰❤",23978439,1340308226215211011,
0,0,1,0,1340307132495884288,2020-12-19T14:44:56.000Z,"@leowmuller ""Vovó das uni"", com muito orgulho 😏😂",23978439,1340295270916091904,122445211
0,0,6,0,1340303528166907905,2020-12-19T14:30:37.000Z,"@Elez_e_Eu @pontofrio Se não usa, a @havaianasBR pode dar um jeito 😏😂",23978439,1340279408515567616,1232833736707801089
