text,id,conversation_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,author_id,created_at,in_reply_to_user_id
"RT @BandNewsFMCtba: Todas as tartarugas encontradas mortas no litoral estavam com plástico no estômago, mostra estudo da UFPR https://t.co/…",1078731805463859200,1078731805463859200,12,0,0,0,23978439,2018-12-28T19:17:58.000Z,
@brunaberbeki 😏,1078369362258599936,1078338203084640256,0,6,25,1,23978439,2018-12-27T19:17:45.000Z,782217042422329344
RT @portalbemparana: Programa da UFPR oferece vagas gratuitas para sete idiomas; Inglês abre inscrições dia 21 de janeiro https://t.co/zKK3…,1078369289936220160,1078369289936220160,8,0,0,0,23978439,2018-12-27T19:17:28.000Z,
@shinebabieb Sendo preparado pra sair dia 11 de janeiro.,1078368711743025157,1078290446357536768,0,0,7,0,23978439,2018-12-27T19:15:10.000Z,2521136191
@felipebilham Qualquer uma das cores do nosso brasão 😎,1078368479143702529,1078367854527959040,0,1,14,0,23978439,2018-12-27T19:14:15.000Z,816077459556810752
"RT @ufrj: Que tal fazer uma visita virtual pelo Museu Nacional/UFRJ?
O passeio, disponível no Google Arts&amp;Culture, traz imagens em alta def…",1078315762924904448,1078315762924904448,103,0,0,0,23978439,2018-12-27T15:44:46.000Z,
@CXlXnX0 Oi 🙃,1078100024935006214,1078098291269795840,0,1,13,0,23978439,2018-12-27T01:27:30.000Z,3249007486
"@laucurbstomp Miga, pode aproveitar o recesso e as festas de fim de ano. Só sai dia 11 de janeiro 😉",1078092020420358149,1077912848758702080,1,0,16,1,23978439,2018-12-27T00:55:42.000Z,35273312
@srpablu UFPR,1078091556714881025,1077943619745656832,2,1,30,0,23978439,2018-12-27T00:53:51.000Z,903927104
@rvieira2012 Impossível. Só dia 11 mesmo.,1078089473525727233,1077967131784953856,0,1,1,0,23978439,2018-12-27T00:45:35.000Z,2997340155
Estudante de Medicina é convidada a participar de conferência na ONU e pede colaboração financeira para realizar esse sonho https://t.co/l7IakUXIpz,1076505112082874375,1076505112082874375,17,0,39,2,23978439,2018-12-22T15:49:53.000Z,
Programa oferece vagas gratuitas para sete idiomas; curso de Inglês abre inscrições dia 21 de janeiro https://t.co/MF6lXmRkeC,1076162512675061760,1076162512675061760,5,4,22,0,23978439,2018-12-21T17:08:31.000Z,
"UFPR alcança nota máxima no Índice Geral de Cursos do Inep; é a única do PR no grupo que reúne 1,6% das IES https://t.co/XXNvM1lTrY",1075873081565036545,1075873081565036545,13,1,49,3,23978439,2018-12-20T21:58:26.000Z,
