conversation_id,id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,author_id,text,created_at,in_reply_to_user_id
1406396603989102606,1406396603989102606,0,0,1,0,2377025545,"#LUTO!

#Universidades do #Paraná manifestam solidariedade às famílias e amigos das vítimas da Covid-19 🖤

#uenp #UTFPr #unila #utp
#uepg #unespar #ufpr #uffs #uel #uem #puc #unioeste #unespar #FundacaoAraucaria #seti  #todasasvidasimportam #COVID19 #vacinasim #todospelavacina https://t.co/dw5LLAyvzh",2021-06-19T23:40:54.000Z,
1406314759494983688,1406382221116780547,0,0,0,0,130279512,"@bonassoli @UFPR @GadoDecider Não desejo a você e a ninguém,  mas caso pegue COVID, vão te receitar Ivermectina, Azitromicina... e você vai tomar.
Pura hipocrisia e vontade de lacrar!",2021-06-19T22:43:45.000Z,30786273
1406314759494983688,1406350691984150535,0,1,0,0,130279512,"@bonassoli @UFPR @GadoDecider Tratamento precoce não cura COVID, ela trata  o quadro clínico do paciente para que não evolua para os casos graves. Você provavelmente não é da área de medicina deve ser de humanas, por isso a ignorância.
O que mata é justamente a ignorância!",2021-06-19T20:38:28.000Z,30786273
1406230511073349636,1406230511073349636,0,0,0,0,58538112,"#parana #vacina #covid19 #ufpr #estudo #pesquisa #ciencia #pandemia #brasil #coronavirus #saude #portaljornale #jornale
https://t.co/wr6aygCF0n",2021-06-19T12:40:54.000Z,
1405917469810872320,1405917469810872320,0,0,1,0,197226487,Graças a Deus e a @UFPR hoje eu recebi a primeira dose da vacina contra a Covid-19. Não tenho nem palavras pra expressar minha emoção e minha gratidão 🙏🏼,2021-06-18T15:57:00.000Z,
1405683923951181826,1405683923951181826,10,0,40,1,991339599418052614,"Covid-19 afeta placenta de grávidas e pode causar a morte do feto. Estudo contou com a participação de pesquisadores da PUCPR, da UFPR e do Instituto de Pesquisa Pelé, do Hospital Pequeno Principe. @PUCPRoficial @UFPR 

https://t.co/Vy59U2DYlx",2021-06-18T00:28:58.000Z,
1405157441181003781,1405157441181003781,20,0,206,3,573239145,"fiz exame de covid ontem gratuitamente pela @UFPR e hoje já recebi o resultado 

DEFENDAM E VALORIZEM AS UNIVERSIDADES PÚBLICAS https://t.co/oy0L2TDTus",2021-06-16T13:36:55.000Z,
1404861349310631936,1404861349310631936,18,3,120,1,821001145359409152,teste de covid gratuito na @UFPR feito com saliva. Viva a ciência e #forabolsonaro! https://t.co/jis2ogvWn0,2021-06-15T18:00:21.000Z,
1404546045481263104,1404546045481263104,0,0,0,0,58538112,"#ufpr #testes #covid19 #assintomatico #utfpr #palaciodasaraucarias #ciencia #coronavirus #portaljornale #jornale
https://t.co/yWASdpVBcX",2021-06-14T21:07:27.000Z,
1404499950537527298,1404499950537527298,1,0,3,0,68498809,"UFPR amplia oferta de testes do coronavírus para assintomáticos; saiba como se inscrever
#UFPR #testecovid 
https://t.co/lA8DRQyi26",2021-06-14T18:04:17.000Z,
1403343763129438216,1403343763129438216,8,0,26,2,14434407,"A #covid19 pode afetar a placenta de gestantes e ter reflexos nos fetos, como nascimento prematuro e até a morte do bebê. A constatação é de um estudo feito por @UFPR, @PUCPRoficial e @hospitalpp. Veja os dados: https://t.co/Co0jOLY3JT.
📷TV Brasil https://t.co/uxow5ZH2vj",2021-06-11T13:30:00.000Z,
1403178299380178946,1403178299380178946,8,0,98,0,300614405,"ufpr elaborando uma vacina p prevenção do covid e fazendo exame grátis pra comunidade, cara que orgulho... obrigada @UFPR ❤",2021-06-11T02:32:31.000Z,
1403004394929590278,1403004394929590278,1,2,5,0,112786548,"A avaliação é do professor Emanuel Maltempi de Souza, do Departamento de Bioquímica e Biologia Molecular da Universidade Federal do Paraná (UFPR). https://t.co/uyku0NC1xQ 

#EmmanuelMaltempi #UFPR #coronavirus #COVID19 #decreto #TribunaDoParaná",2021-06-10T15:01:28.000Z,
1402674983625711622,1402674983625711622,3,1,23,3,112786548,"O bairro Pinheirinho, na zona Sul de Curitiba, é a região da capital mais afetada pela pandemia de covid-19, tanto na incidência de casos confirmados, quanto na taxa de mortalidade. https://t.co/lFWrtCzdV4

#Pinheirinho #Curitiba #coronavirus #COVID19 #UFPR #TribunaDoParaná",2021-06-09T17:12:31.000Z,
1402277414286286855,1402277414286286855,11,0,85,1,30988576,A vacina desenvolvida na @UFPR contra a Covid-19 deve encerrar a fase de testes pré-clínicos até o final de 2021. A vacina usa insumos nacionais e tem tecnologia de produção 100% desenvolvida na UFPR. #ufpr #vacina ##vacinasim https://t.co/FeVHxhrxe6,2021-06-08T14:52:43.000Z,
1402236918839005187,1402236918839005187,0,0,0,0,58538112,"#hc #hospitaldeclinicas #ufpr #curitiba #testesclinicos #covid19 #medicamento #remedio #antiviral #coronavirus #pandemia #portaljornale #jornale
https://t.co/bt7VYjOauE",2021-06-08T12:11:48.000Z,
1401983518280986624,1401983518280986624,1,1,1,0,1141053551386476544,"SE LIGA: Extensão tecnológica inovadora para o combate ao COVID-19 através da Iniciativa Startup Experience da @UFPR publicado na revista Extensão em Foco https://t.co/wLm8nbx5xH #covid19 #ufpr #acesso #controle #interdisciplinaridade #startup 

Uma ação do Ciência para Todos. https://t.co/yHt0HEi1VJ",2021-06-07T19:24:53.000Z,
1400449573554778131,1400449573554778131,0,0,0,0,58538112,"#ciencia #UFPR #vacina #covid19 #coronavirus #pandemia #coronavac #pfizer #astrazeneca #covaxin #portaljornale #jornale
https://t.co/enmCtcXtbQ",2021-06-03T13:49:32.000Z,
1400192672875286530,1400192672875286530,1,1,1,0,1334897483642793991,"#PergunteAosCientistas edição novas variantes do Coronavírus

Diante do alto grau de mutação, cientistas da @UFPR respondem dúvidas da sociedade sobre as novas variantes do SARS-CoV-2, causador da Covid-19.

Envie sua pergunta aqui nos comentários⬇️
https://t.co/jnj66itSTn",2021-06-02T20:48:42.000Z,
1399443748455583751,1399443748455583751,3,1,4,0,1334897483642793991,"#PergunteAosCientistas 

Os cientistas da @UFPR responderam perguntas sobre a Covid-19 enviadas pela sociedade, com base nas descobertas realizadas durante a pandemia.
Uma delas foi sobre variantes.  

Confira a resposta no vídeo e mais respostas na matéria! https://t.co/25EXKMEYGm",2021-05-31T19:12:44.000Z,
1398578420074881026,1398578420074881026,6,2,24,0,1350954837844914179,"Curitiba com 100% de ocupação de UTI adota medidas + rígidas para diminuir a circulação de pessoas. Isso é fundamental, mas os governos deveriam evitar q a situação chegasse a este nível, mas se acostumaram a fazer apenas a gestão da consequência.
@UFPR

https://t.co/pEApGp5tdR",2021-05-29T09:54:14.000Z,
1398370822365061123,1398370822365061123,0,0,5,0,66788449,"#Saúde Servidores estaduais lotados no Palácio das Araucárias terão nova rodada de testes de Covid-19. O mutirão acontecerá na próxima terça-feira (1º), no estacionamento do Setor de Ciências Biológicas da @UFPR, em Curitiba, entre 8h e 13h. 😷🧫
➡️ https://t.co/iRp8Z1iJ2u https://t.co/DWytgONkRD",2021-05-28T20:09:19.000Z,
1398370122931359758,1398370122931359758,1,0,1,0,1334897483642793991,"#PergunteAosCientistas está no ar!

Confira as dúvidas enviadas em 2020 sobre a Covid-19, vacinas, variantes e contaminação de pets, que foram respondidas por cientistas da @UFPR com base nas descobertas realizadas durante a pandemia.
Leia na reportagem⬇️
https://t.co/aGIK1lxv1z",2021-05-28T20:06:32.000Z,
1398024288947556358,1398024288947556358,15,1,101,0,1032426870120349696,"O comprometimento dos pesquisadores e da universidade pública com a sociedade é algo incrível. Hoje as 9 hrs fiz teste de qPCR para COVID na @UFPR, pois tive contato com pessoas sintomáticas. Recebi o resultado as 15 hrs! Velocidade que nenhum laboratório comercial/farmácia tem.",2021-05-27T21:12:19.000Z,
1397894112741896194,1397894112741896194,4,0,14,0,170072545,"💉 A Frente Parlamentar da Vacinação da @CamaraCuritiba promove hoje (27) um debate sobre a atuação da @UFPR na produção da vacina contra a Covid-19, com a presença da professora Andrea Emília Stinguen, do Departamento de Patologia Básica da UFPR. Acompanhe pelo YouTube da CMC. https://t.co/DszP1SkjPN",2021-05-27T12:35:02.000Z,
1396204517264396289,1397801959680188416,0,0,0,0,39211040,@medrxivpreprint Study shows CoronaVac to have high seroconversion rate after 40 days https://t.co/ginVntxgxF @UFPR @medrxivpreprint #Antibodies #Coronavirus #Pandemic #SARSCoV2 #Vaccine #Virus #CoronavirusDisease #COVID,2021-05-27T06:28:51.000Z,921400462838042624
1397801894576365569,1397801894576365569,1,0,1,0,39211040,Study shows CoronaVac to have high seroconversion rate after 40 days https://t.co/ginVntORWf @UFPR @medrxivpreprint #Antibodies #Coronavirus #Pandemic #SARSCoV2 #Vaccine #Virus #CoronavirusDisease #COVID https://t.co/3RmvWGadVP,2021-05-27T06:28:36.000Z,
1397642521992388610,1397642521992388610,1,0,2,0,1349541303630123009,"Dias atrás tive reunião com reitor da @UFPR sobre estudo da vacina contra COVID. Ideia é @TCEPR ajudar a UFPR. O reitor foi ao ministro @Astro_Pontes, da Ciência, Tecnologia e Inovações (MCTI). Vamos fazer acordo com o MCTI p/usar imagem do satélite p/ fiscalizar obras públicas. https://t.co/SI64oAr5mZ",2021-05-26T19:55:18.000Z,
1397581251331121157,1397581251331121157,10,0,32,0,821001145359409152,"Viva a @UFPR! A vacina 100% paranaense, de baixíssimo custo, está com ótimos resultados e pode estar disponível no ano que vem à população. Fundamental todo o apoio do @governoparana para financiar e garantir autonomia de produção para os próximos anos. https://t.co/veCqMfLHX1",2021-05-26T15:51:50.000Z,
1397547610404175873,1397547610404175873,5,4,52,0,166417133,"A @UFPR apresentou a vacina contra a Covid-19 ao ministro da Ciência, Marcos Cesar Pontes. A #BancadaParanaense articulou o encontro e propõe uma emenda impositiva para o financiamento da vacina, para que a universidade avance na pesquisa e ajude na imunização dos brasileiros. https://t.co/162sCwWv0I",2021-05-26T13:38:10.000Z,
