id,author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,text,created_at,in_reply_to_user_id
1344476873716162560,40006201,0,0,0,0,1344476873716162560,#Vestibular em destaque: #Vestibular #UFPR 2020/2021 https://t.co/F3TXLkbvdS #pr,2020-12-31T02:54:00.000Z,
1344474599195459585,3119735962,2,0,5,0,1344474599195459585,"PESQUISADORES da @UFPR analisaram os 6 meses iniciais da pandemia na Grande Curitiba e afirmam: não houve enfrentamento, só ""gerenciamento"" dos doentes. Link e detalhes do estudo aqui &gt; 
https://t.co/snPP3dUeez",2020-12-31T02:44:58.000Z,
1344440000981716992,1230320494752215042,0,0,2,0,1342827517481267200,@pretozeze @PedroHenrMaximo Entrar na @UFPR,2020-12-31T00:27:29.000Z,41760825
1344437823265529862,100531840,0,0,3,0,1344437823265529862,"Ano Novo, novos caminhos... 
Inicio minhas atividades em 2021 na Universidade Federal do Paraná - Setor Litoral. 
A ESEF/UFPEL me ensinou muito! Fiz amigues, criei vínculos, trabalhei bastante! 
Gratidão!
@UFPel
@UFPR https://t.co/xAisuxTWl9",2020-12-31T00:18:50.000Z,
1344424834458132483,833512759,0,0,5,0,1344424834458132483,"Method for the Development of WISH, a Globally Applicable Index for Healthy Diets from Sustainable Food Systems https://t.co/sQJYCKOaEP via @MDPIOpenAccess @UFPR @WUR @BiovIntCIAT_eng @NutritionForDev",2020-12-30T23:27:13.000Z,
1344320676388339722,60465985,0,0,1,0,1344320676388339722,"Eu, que nunca peço nada aqui, venho por meio deste tweet pedir para vocês votarem na @UFPR na Rinha de Universidades.
Por favorzinho, gente! Deixem a nossa uni lindona feliz nesse fim de ano!
https://t.co/7k30juwHBT",2020-12-30T16:33:20.000Z,
1344294768805875712,963967363778580481,6,1,18,1,1344294768805875712,"@UFPR a senhora está na final da rinha, por que a senhora não está pedindo votos nas redes????

Link do grupo da rinha https://t.co/hERTN9r1vp

Link do post da rinha
https://t.co/eFpAgJVrRP https://t.co/ls7lrbRdzH",2020-12-30T14:50:23.000Z,23978439
1344254651479322625,14341495,0,0,3,0,1344248943773933568,"Interessante esta observação em algumas das vagas:
"" ESTA VAGA ESTÁ PREFERENCIALMENTE RESERVADA A CANDIDATOS COTISTAS NEGROS CONFORME SORTEIO REALIZADO EM 22/12/2020"".
Parabéns, @UFPR",2020-12-30T12:10:58.000Z,14341495
1344220277992005632,40006201,0,0,0,0,1344220277992005632,#Vestibular em destaque: #Vestibular #UFPR 2020/2021 https://t.co/F3TXLkt6Cs #pr,2020-12-30T09:54:23.000Z,
1344145897148592128,123529687,0,0,0,0,1344145897148592128,Gestão Agro Florestal já saiu! https://t.co/7NRuAlRu4i Graças a @daniambiental @UFPR #leite #lácteos,2020-12-30T04:58:49.000Z,
1344145116995477504,216835372,0,0,0,0,1344145116995477504,@UFPR Como faço pra tirar duvidas referente a mestrado ?,2020-12-30T04:55:43.000Z,23978439
1344104781095129089,794563098,0,0,4,1,1344104781095129089,"Alô pessoal!! @UFPR 

Estamos na final da rinha das universidades públicas com a Unesp!!!

VOTE UFPR!!

É só entrar no link e reagir com 😢 (TRISTE) 

https://t.co/AWxPqT5FRg

#GoUFPR #VoteUFPR",2020-12-30T02:15:26.000Z,
1344072049866780673,928807833424072704,0,0,0,0,1344072049866780673,"Lembrando que a @UFPR tá desenvolvendo uma vacina que apresentou auta eficácia, mas é aquela questão ne dificilmente essa vacina irá pra frente por falta de investimento do governo https://t.co/7R4uDtWyu1",2020-12-30T00:05:22.000Z,
1344060362761580546,909028717,0,0,1,0,1343795990327914499,@s_andysan Na escadaria da @UFPR,2020-12-29T23:18:56.000Z,1213347682627928065
1344052298180403202,833512759,0,0,0,0,1344052298180403202,Individual and contextual predictors of children’s hemoglobin levels from Southern Brazilian municipalities in social vulnerability https://t.co/T9bFACdso0 #ufpr #anemia  #cgan #ufsc #ufcspa https://t.co/0iKg4pdaCW,2020-12-29T22:46:53.000Z,
1344049590681657345,93330115,0,0,1,0,1341726867695525891,"@valdirlamim @UFPR Eu vi! Conheci você e mais uns tantos. Eu ia ser banca, mas havia ex-alunas e orientanda entre candidatos/as. Desejo boa sorte no sorteio dos pontos - que te agradem e permitam mostrar teu potencial.",2020-12-29T22:36:08.000Z,95194886
1344045428296347651,95194886,0,1,1,0,1341726867695525891,@mvalerio1981 @UFPR Estou entre os 61...,2020-12-29T22:19:35.000Z,93330115
1344016921059065856,1016679469711491077,0,0,0,0,1344016921059065856,"Livro ""FRONTEIRAS DO CONHECIMENTO EM CIÊNCIAS DO MAR"" @UFPR @FURG @marmilbr
Capítulo ""PROCESSOS REGIONAIS DE INTERAÇÃO OCEANOATMOSFERA NO ATLÂNTICO SUL"" 
por Ronald Buss e Luciano Pezzi (OBT/INPE) @inpe_mct  @dsrinpe 
Disponível em:
https://t.co/U1itLrdOxC https://t.co/mM46QLbY9b",2020-12-29T20:26:19.000Z,
1344003536024195074,1159602257811398658,0,0,1,0,1344003536024195074,bora aquecer pra votar na @UFPR  na @RinhaUniv,2020-12-29T19:33:08.000Z,
1343993884142088192,40006201,0,0,0,0,1343993884142088192,#Vestibular em destaque: #Vestibular #UFPR 2020/2021 https://t.co/F3TXLkt6Cs #pr,2020-12-29T18:54:46.000Z,
1343989500498882560,93330115,2,0,3,0,1343989500498882560,"Concurso rolando na @ufpr para Ensino de Ciências e Ensino de Física. Divulguem, por favor.
https://t.co/1LLCauWpgY",2020-12-29T18:37:21.000Z,
1343966007237476352,1298007474520207360,0,0,0,0,1343706856674521088,@portalbemparana @UFPR Bem que podia rolar uma divulgação da equipe de esportes eletrônicos da UFPR né? Estamos com uns projetos bem legais pra 2021 🔥,2020-12-29T17:04:00.000Z,53425538
